"label"	"lineagemut2"
"IT|Valle_DAosta|EPI_ISL_457732|20B|B.1.1.29|2020/03/14"	"B.1.1.29"
"IT|Veneto|EPI_ISL_422437|20B|B.1.1.29|2020/03/25"	"B.1.1.29"
"IT|Veneto|EPI_ISL_422438|20A|B.1|2020/03/25"	"B.1"
"IT|Veneto|EPI_ISL_452181|20A|B.1|2020/03/22"	"B.1"
"IT|Veneto|EPI_ISL_452182|20B|B.1.1|2020/03/23"	"B.1.1"
"IT|Veneto|EPI_ISL_452183|20B|B.1.1.29|2020/03/24"	"B.1.1.29"
"IT|Veneto|EPI_ISL_452184|20A|B.1|2020/03/24"	"B.1"
"IT|Veneto|EPI_ISL_452185|20A|B.1|2020/03/26"	"B.1"
"IT|Veneto|EPI_ISL_452186|20B|B.1.1.29|2020/03/28"	"B.1.1.29"
"IT|Veneto|EPI_ISL_452187|20B|B.1.1.29|2020/03/31"	"B.1.1.29"
"IT|Veneto|EPI_ISL_452188|20B|B.1.1.29|2020/03/31"	"B.1.1.29"
"IT|Veneto|EPI_ISL_452189|20B|B.1.1.29|2020/04/01"	"B.1.1.29"
"IT|Veneto|EPI_ISL_452190|20A|B.1|2020/04/03"	"B.1"
"IT|Veneto|EPI_ISL_452191|20A|B.1|2020/04/03"	"B.1"
"NI|Australia|EPI_ISL_509505|20A|B.1|2020/01/25"	"B.1"
"NI|Austria|EPI_ISL_437932|20B|B.1.1.29|2020/02/24"	"B.1.1.29"
"NI|Austria|EPI_ISL_438002|20A|B.1|2020/03/03"	"B.1"
"NI|Austria|EPI_ISL_475798|20A|B.1|2020/04/01"	"B.1"
"NI|Austria|EPI_ISL_583718|20A|B.1|2020/04/29"	"B.1"
"NI|Belgium|EPI_ISL_415159|20C|B.1|2020/02/29"	"B.1"
"NI|Belgium|EPI_ISL_458215|20A|B.1|2020/03/29"	"B.1"
"NI|Belgium|EPI_ISL_735249|20A|B.1|2020/04/29"	"B.1"
"NI|Brazil|EPI_ISL_412964|20A|B.1|2020/02/25"	"B.1"
"NI|Brazil|EPI_ISL_513529|20A|B.1|2020/04/30"	"B.1"
"NI|Denmark|EPI_ISL_416144|20A|B.1|2020/03/01"	"B.1"
"NI|Denmark|EPI_ISL_444960|20A|B.1.179|2020/03/31"	"B.1.179"
"NI|Denmark|EPI_ISL_452075|20C|B.1|2020/04/28"	"B.1"
"NI|England|EPI_ISL_425313|20A|B.1|2020/03/28"	"B.1"
"NI|England|EPI_ISL_485604|20A|B.1.419|2020/02/24"	"Other"
"NI|England|EPI_ISL_573371|20A|B.1.98|2020/04/30"	"Other"
"NI|Finland|EPI_ISL_1229390|20A|B.1|2020/04/01"	"B.1"
"NI|Finland|EPI_ISL_1240177|20C|B.1|2020/04/29"	"B.1"
"NI|Finland|EPI_ISL_413602|20A|B.1|2020/03/03"	"B.1"
"NI|France|EPI_ISL_1015053|20C|B.1|2020/03/11"	"B.1"
"NI|France|EPI_ISL_629084|20A|B.1|2020/02/19"	"B.1"
"NI|France|EPI_ISL_644681|20B|B.1.1.247|2020/02/26"	"Other"
"NI|France|EPI_ISL_660706|20B|B.1.1.162|2020/04/30"	"B.1.1.162"
"NI|France|EPI_ISL_678541|20A|B.1|2020/04/30"	"B.1"
"NI|Germany|EPI_ISL_412912|20B|B.1.1.29|2020/02/25"	"B.1.1.29"
"NI|Germany|EPI_ISL_450200|19A|B.1|2020/01/28"	"B.1"
"NI|Germany|EPI_ISL_466901|20B|B.1.1.162|2020/04/30"	"B.1.1.162"
"NI|Germany|EPI_ISL_626220|20C|B.1|2020/04/30"	"B.1"
"NI|Germany|EPI_ISL_852733|20A|B.1|2020/03/15"	"B.1"
"NI|Guangdong|EPI_ISL_444969|20A|B.1|2020/04/16"	"B.1"
"NI|Hangzhou|EPI_ISL_482577|20A|B.1|2020/03/07"	"B.1"
"NI|Ireland|EPI_ISL_644291|20B|B.1.1.29|2020/04/14"	"B.1.1.29"
"NI|Japan|EPI_ISL_419296|20A|B.1|2020/03/08"	"B.1"
"NI|Japan|EPI_ISL_685438|20B|B.1.1.162|2020/04/29"	"B.1.1.162"
"NI|Netherlands|EPI_ISL_413575|20A|B.1|2020/02/29"	"B.1"
"NI|Netherlands|EPI_ISL_422796|20A|B.1|2020/03/30"	"B.1"
"NI|Netherlands|EPI_ISL_547511|20A|B.1.88|2020/04/30"	"Other"
"NI|Scotland|EPI_ISL_489654|20B|B.1.1.29|2020/03/22"	"B.1.1.29"
"NI|Sichuan|EPI_ISL_451345|19A|B.1|2020/01/24"	"B.1"
"NI|South_Africa|EPI_ISL_417186|20A|B.1|2020/03/07"	"B.1"
"NI|South_Africa|EPI_ISL_700512|20A|B.1|2020/04/30"	"B.1"
"NI|Spain|EPI_ISL_444989|20A|B.1|2020/03/28"	"B.1"
"NI|Spain|EPI_ISL_530084|20A|B.1|2020/04/30"	"B.1"
"NI|Spain|EPI_ISL_539531|20A|B.1|2020/02/24"	"B.1"
"NI|Switzerland|EPI_ISL_413996|20A|B.1|2020/02/24"	"B.1"
"NI|Switzerland|EPI_ISL_476114|20B|B.1.1.104|2020/04/30"	"Other"
"NI|Switzerland|EPI_ISL_527917|20B|B.1.1|2020/02/26"	"B.1.1"
"NI|Switzerland|EPI_ISL_581806|20A|B.1|2020/03/28"	"B.1"
"NI|Switzerland|EPI_ISL_939672|20A|B.1|2020/04/30"	"B.1"
"NI|USA|EPI_ISL_1168420|20C|B.1|2020/04/30"	"B.1"
"NI|USA|EPI_ISL_420793|20C|B.1|2020/03/02"	"B.1"
"NI|Wales|EPI_ISL_474755|20B|B.1.1.29|2020/04/30"	"B.1.1.29"
"NI|Wuhan|EPI_ISL_402123|19A|B|2019/12/24"	"Other"
"NI|Wuhan|EPI_ISL_402125|19A|B|2019/12/31"	"Other"
"NI|Wuhan|EPI_ISL_406801|19B|A|2020/01/05"	"Other"
"NI|Wuhan|EPI_ISL_529213|19B|A|2019/12/30"	"Other"
"TN|Andalo|Ph1_RUN3_NB08|20B|B.1.1.29|2020/03/10"	"B.1.1.29"
"TN|Arco|Ph1_RUN3_NB02|20A|B.1|2020/03/05"	"B.1"
"TN|Besenello|Ph1_RUN3_NB10|20A|B.1|2020/03/19"	"B.1"
"TN|Bocenago|Ph1_RUN2_NB11|20A|B.1|2020/03/19"	"B.1"
"TN|Bolzano|Ph1_RUN3_NB04|20A|B.1|2020/03/09"	"B.1"
"TN|Borgo_Valsugana|Ph1_RUN1_NB03|20A|B.1|2020/03/08"	"B.1"
"TN|Borgo_Valsugana|Ph1_RUN1_NB04|20A|B.1|2020/03/08"	"B.1"
"TN|Borgo_Valsugana|Ph1_RUN1_NB05|20B|B.1.1.29|2020/03/09"	"B.1.1.29"
"TN|Brentonico|Ph1_RUN2_NB08|20B|B.1.1|2020/03/19"	"B.1.1"
"TN|Caderzone_Terme|Ph1_RUN3_NB11|20A|B.1|2020/03/20"	"B.1"
"TN|Canazei|Ph1_RUN1_NB12|20A|B.1|2020/03/19"	"B.1"
"TN|Canazei|Ph1_RUN2_NB04|20B|B.1.1.29|2020/03/09"	"B.1.1.29"
"TN|Canazei|Ph1_RUN2_NB06|20A|B.1|2020/03/09"	"B.1"
"TN|Castello/Molina_di_Fiemme|Ph1_RUN3_NB06|20A|B.1|2020/03/09"	"B.1"
"TN|Cavalese|Ph1_RUN1_NB21|20B|B.1.1.29|2020/03/10"	"B.1.1.29"
"TN|Cavalese|Ph1_RUN2_NB05|20A|B.1|2020/03/09"	"B.1"
"TN|Cavalese|Ph1_RUN2_NB21|20B|B.1.1.29|2020/03/11"	"B.1.1.29"
