"label"	"nextclademut"
"TN|Ton|Ph1_RUN2_NB12|20B|B.1.1.29|2020/03/20"	"20B"
"TN|Trento|Ph1_RUN1_NB16|20A|B.1|2020/03/20"	"20A"
"TN|Trento|Ph1_RUN1_NB17|20A|B.1|2020/03/22"	"20A"
"TN|Trento|Ph1_RUN1_NB19|20A|B.1|2020/03/10"	"20A"
"TN|Trento|Ph1_RUN1_NB20|20A|B.1|2020/03/10"	"20A"
"TN|Trento|Ph1_RUN2_NB17|20A|B.1|2020/03/09"	"20A"
"TN|Trento|Ph1_RUN2_NB22|20A|B.1|2020/03/12"	"20A"
"TN|Trento|Ph1_RUN3_NB15|20A|B.1|2020/03/21"	"20A"
"TN|Trento|Ph1_RUN3_NB19|20A|B.1|2020/03/11"	"20A"
"TN|Trento|Ph1_RUN3_NB22|20A|B.1|2020/03/12"	"20A"
"TN|Trento|Ph1_RUN3_NB23|20A|B.1|2020/03/11"	"20A"
"TN|Trento|Ph1_RUN3_NB24|20A|B.1|2020/03/11"	"20A"
"TN|UNKNOWN|Ph1_RUN1_NB02|20A|B.1|2020/03/06"	"20A"
"TN|UNKNOWN|Ph1_RUN2_NB13|20A|B.1|2020/03/20"	"20A"
"TN|UNKNOWN|Ph1_RUN2_NB14|20A|B.1|2020/03/20"	"20A"
"TN|UNKNOWN|Ph1_RUN3_NB05|20A|B.1|2020/03/09"	"20A"
"TN|Vermiglio|Ph1_RUN1_NB09|20B|B.1.1|2020/03/11"	"20B"
"TN|Vermiglio|Ph1_RUN1_NB10|20A|B.1|2020/03/12"	"20A"
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
